X - Plot 0	cos(X) - Plot 0	
0	361.483	
9	359.781	
18	359.282	
27	358.91	
36	358.463	
45	358.154	
54	357.891	
63	358.057	
72	358.96	
81	358.141	
90	358.237	
99	358.325	
108	358.43	
117	358.589	
126	358.651	
135	358.887	
144	359.696	
153	359.631	
162	359.953	
171	359.698	
180	360.438	
189	359.871	
198	359.688	
207	358.957	
216	358.849	
225	358.636	
234	359.08	
243	359.058	
252	358.902	
261	358.833	
270	358.608	
279	358.409	
288	358.237	
297	358.229	
306	358.49	
315	358.509	
324	358.896	
333	358.949	
342	358.938	
351	359.167	
360	359.216	
